Sources:,Link,Note
Demography,https://stats.oecd.org/,Demography and Population -> Population Statistics -> Historical population data
Capitation Formula,https://www.vanleer.org.il/sites/files/product-pdf/%D7%9E%D7%97%D7%A7%D7%A8%20%D7%9E%D7%93%D7%99%D7%A0%D7%99%D7%95%D7%AA%2020%20-%20%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%20%D7%94%D7%94%D7%95%D7%A6%D7%90%D7%94%20-%20%D7%98%D7%A7%D7%A1%D7%98%20%D7%9E%D7%9C%D7%90.pdf,Page 20
Budget,https://stats.oecd.org/,Health -> Health expenditure and financing -> Health expenditure and financing
